,blast,rmsd
183,6i2u_ligand_4,31.379840839584364
184,3uvd_ligand_6,23.38857193775779
185,5edh_ligand_4,54.574250282034605
186,6pgt_ligand_1,7.003172372983139
187,1wva_ligand_5,30.323738335025762
188,4n9u_ligand_2,30.244513769411938
189,7dnl_ligand_5,53.327544694023025
190,1hef_ligand_4,13.19165777584455
191,1ksh_ligand_5,19.399922633397747
192,2az9_ligand_6,27.311268444481147
193,4zzx_ligand_5,130.86464231067154
194,4ej2_ligand_3,50.176973803205975
195,1ftj_ligand_2,46.86143440534354
196,2uxh_ligand_5,26.802693787192364
197,7e75_ligand_2,10.31048955112141
198,5mrq_ligand_1,21.704384205731337
199,4gmz_ligand_4,35.766449631214755
200,1gf6_ligand_7,22.367657397291808
201,5uum_ligand_5,45.959909002429804
202,5t6p_ligand_2,61.49260073977953
203,1ezs_ligand_8,72.94258135157247
204,1a4z_ligand_7,18.24339561473016
205,3n1d_ligand_7,21.337517436933208
206,1gsb_ligand_1,30.006783578579483
207,4qaa_ligand_1,69.6521804851315
208,1q4n_ligand_3,28.001675479126206
209,4heu_ligand_6,59.88875237150449
210,1os2_ligand_3,73.87209602466227
211,2vb7_ligand_5,62.03623996611443
212,2xe6_ligand_9,22.061571730046797
213,1gf6_ligand_8,23.28693536418517
214,3dzj_ligand_8,48.29444781932057
215,1krm_ligand_7,20.09121631615418
216,4zyt_ligand_4,23.82155503267996
217,4hnc_ligand_9,48.78144634592132
218,2je8_ligand_6,29.27647922884576
219,3oxi_ligand_7,31.009253230106797
220,4dk7_ligand_5,36.78608467621358
221,1qj4_ligand_8,25.20741806568974
222,1l8a_ligand_3,67.70603437706986
223,1pcg_ligand_7,29.46666880638961
224,6phr_ligand_8,46.01072401529631
225,2oko_ligand_7,31.13428500360518
226,2wlw_ligand_3,28.004427948199233
227,6p05_ligand_7,17.848388853950325
228,1qqn_ligand_9,35.058959447101586
229,6amq_ligand_5,48.319947880686996
230,6iso_ligand_5,79.33300936782976
231,3np2_ligand_4,27.72982898167497
232,6i5d_ligand_4,40.99356294224741
233,2xpg_ligand_2,26.991908975162477
234,1m73_ligand_5,26.363510277329482
235,6yi9_ligand_9,29.216685856620433
236,5e8f_ligand_7,60.897334778968926
237,2cnx_ligand_8,29.270173349332932
238,3nes_ligand_2,29.18720427687448
